DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT
3100.0,0.0481,2.6067,8.3222,10.181,7.5681,8.5781,60.6463
3100.1,0.0481,2.6061,8.5168,10.0395,7.586,8.5781,60.6713
3100.2,0.0483,2.6063,8.3134,9.9846,7.6333,8.5781,60.707
3100.3,0.0486,2.6078,8.6389,9.9122,7.6751,8.5781,60.7455
3100.4,0.0488,2.6091,8.2602,9.8524,7.6777,8.5781,60.784
3100.5,0.049,2.6083,8.7009,9.8056,7.6355,8.5781,60.8489
3100.6,0.0495,2.605,8.7252,9.7927,7.5831,8.5781,60.923
3100.7,0.0503,2.6007,8.7694,9.8832,7.5569,8.5781,60.9969
3100.8,0.0509,2.5961,8.7219,9.888,7.5588,8.5781,61.0543
3100.9,0.0511,2.5928,8.8655,9.7108,7.576,8.5781,61.1045
3101.0,0.051,2.5919,8.7423,9.6181,7.5914,8.5781,61.1547
3101.1,0.051,2.5936,8.3343,9.7345,7.6029,8.5781,61.1826
3101.2,0.0511,2.5969,8.6925,9.9549,7.612,8.5781,61.1986
3101.3,0.0512,2.5998,8.8395,10.0739,7.6098,8.5781,61.2145
3101.4,0.0512,2.6015,8.7041,10.2163,7.5977,8.5781,61.1952
3101.5,0.0508,2.6015,8.656,10.5719,7.5869,8.5781,61.1524
3101.6,0.0501,2.6009,8.8144,10.4886,7.5947,8.5781,61.1098
3101.7,0.0495,2.601,8.7667,9.6185,7.6059,8.5781,61.132
3101.8,0.0497,2.6016,9.0737,8.8808,7.5796,8.5781,61.2069
3101.9,0.0511,2.6013,10.0891,8.7883,7.4947,8.5781,61.2821
3102.0,0.0536,2.5983,11.5515,9.1226,7.3929,8.5781,61.489
3102.1,0.0565,2.5931,13.0632,9.3827,7.34,8.5781,61.8256
3102.2,0.0563,2.5882,13.5522,9.3703,7.3648,8.5939,62.1625
3102.3,0.0579,2.5865,13.9677,9.2801,7.4376,8.625,62.652
3102.4,0.0579,2.5894,12.6174,9.3395,7.5065,8.625,63.3234
3102.5,0.0561,2.5961,10.0343,9.4966,7.5476,8.6249,63.995
3102.6,0.0557,2.6046,8.6098,9.5579,7.5775,8.5898,64.7413
3102.7,0.0518,2.6132,7.7535,9.3204,7.6257,8.5781,65.5961
3102.8,0.0483,2.6202,7.2929,8.8725,7.6908,8.5781,66.4509
3102.9,0.0459,2.6238,7.119,8.4339,7.7427,8.5781,67.277
3103.0,0.0447,2.6238,6.8693,8.0432,7.7525,8.5781,68.0527
3103.1,0.0447,2.6219,7.1231,7.7024,7.7129,8.5781,68.8282
3103.2,0.0455,2.6206,7.0018,7.3905,7.6566,8.5781,69.5122
3103.3,0.0466,2.6204,7.4735,7.3806,7.6218,8.5781,69.9954
3103.4,0.0482,2.6191,7.9826,7.2882,7.6363,8.5781,70.4783
3103.5,0.0512,2.6154,8.3073,5.9822,7.6936,8.5781,70.8772
3103.6,0.0573,2.6109,9.6448,4.0638,7.7595,8.5781,71.0424
3103.7,0.0672,2.6091,12.1442,2.9212,7.8075,8.5781,71.2075
3103.8,0.0797,2.6116,16.6243,2.7928,7.8189,8.5782,71.3313
3103.9,0.0889,2.615,22.6042,3.076,7.7948,8.6017,71.3062
3104.0,0.0975,2.6146,27.0393,3.2854,7.7475,8.625,71.2812
3104.1,0.1015,2.6077,29.5611,3.3375,7.6919,8.6367,71.2557
3104.2,0.1016,2.5962,28.7248,3.3477,7.6434,8.625,71.2284
3104.3,0.0999,2.5844,26.949,3.3089,7.6063,8.625,71.201
3104.4,0.0982,2.5765,24.3122,3.1614,7.5956,8.625,71.1781
3104.5,0.0969,2.5748,23.127,3.0595,7.6183,8.625,71.1867
3104.6,0.0961,2.5766,22.2974,3.0857,7.6506,8.625,71.1954
3104.7,0.0955,2.578,21.1202,3.335,7.6592,8.625,71.2088
3104.8,0.095,2.5776,21.4038,3.4436,7.6384,8.625,71.2807
3104.9,0.0944,2.5777,21.776,3.4254,7.6117,8.625,71.3526
3105.0,0.0941,2.5802,20.8858,3.3625,7.6024,8.625,71.4247
3105.1,0.0943,2.5847,20.2546,3.3178,7.6203,8.625,71.5053
3105.2,0.0953,2.5867,20.3659,3.2692,7.6344,8.625,71.5859
3105.3,0.0963,2.5887,21.185,3.1811,7.6486,8.625,71.6666
3105.4,0.0975,2.5871,21.748,3.1435,7.6413,8.625,71.7561
3105.5,0.0978,2.5851,21.8587,3.1984,7.6467,8.625,71.8458
3105.6,0.0972,2.5838,21.3666,3.2767,7.6705,8.625,71.9358
3105.7,0.0962,2.5833,22.1772,3.3564,7.6952,8.625,72.106
3105.8,0.0955,2.5828,22.6025,3.4034,7.7024,8.625,72.2826
3105.9,0.096,2.582,23.3216,3.3938,7.7003,8.625,72.4591
3106.0,0.0978,2.5806,23.2017,3.3488,7.6955,8.625,72.6144
3106.1,0.1009,2.5786,23.9357,3.2308,7.684,8.625,72.7668
3106.2,0.1045,2.5768,23.5534,3.1011,7.6634,8.625,72.9189
3106.3,0.1083,2.5754,23.4915,3.0523,7.6454,8.625,72.945
3106.4,0.1113,2.5745,24.1817,2.9953,7.6547,8.625,72.9456
3106.5,0.1133,2.5739,25.3947,2.883,7.7031,8.625,72.946
3106.6,0.1141,2.5737,27.4338,2.8204,7.7649,8.625,72.8088
3106.7,0.1137,2.5746,29.9589,2.8424,7.8091,8.625,72.6336
3106.8,0.1121,2.576,31.3949,2.8761,7.816,8.625,72.4578
3106.9,0.1097,2.5771,32.3173,2.9546,7.7845,8.6368,72.0518
3107.0,0.1042,2.5771,32.1327,3.0532,7.7289,8.6718,71.5628
3107.1,0.1053,2.5751,31.4084,3.1281,7.6646,8.6483,71.0739
3107.2,0.1038,2.5724,30.0398,3.2086,7.6095,8.625,70.6429
3107.3,0.1021,2.5701,29.7647,3.2653,7.5825,8.625,70.2384
3107.4,0.1,2.5699,29.7465,3.3126,7.5879,8.625,69.834
3107.5,0.0978,2.5726,29.8905,3.3845,7.626,8.6251,69.478
3107.6,0.0929,2.5772,29.3504,3.4996,7.6773,8.6718,69.1493
3107.7,0.0942,2.5814,28.5366,3.6294,7.7233,8.6483,68.8207
3107.8,0.0923,2.5834,27.6519,3.7663,7.7484,8.625,68.5294
3107.9,0.0902,2.5828,25.8354,3.9329,7.7448,8.625,68.2637
3108.0,0.0884,2.5817,24.9264,4.1842,7.7294,8.625,67.9981
3108.1,0.0873,2.5817,23.7084,4.6299,7.7246,8.625,67.7802
3108.2,0.087,2.5826,22.2881,4.6909,7.7408,8.625,67.6025
3108.3,0.087,2.5814,21.6474,4.7291,7.7607,8.625,67.4248
3108.4,0.0869,2.5779,20.5004,4.7223,7.7603,8.625,67.28
3108.5,0.086,2.5746,19.2347,4.7054,7.7375,8.625,67.169
3108.6,0.0846,2.5744,18.6081,4.6801,7.7092,8.625,67.0582
3108.7,0.0832,2.5771,18.8049,4.6499,7.6991,8.625,67.0353
3108.8,0.0821,2.5801,17.9649,4.6384,7.7181,8.625,67.1206
3108.9,0.0809,2.5812,17.6294,4.6188,7.7441,8.6094,67.2058
3109.0,0.08,2.5815,16.7942,4.5847,7.751,8.6017,67.2952
3109.1,0.0796,2.5828,15.6774,4.5503,7.7243,8.625,67.3907
3109.2,0.0794,2.5855,16.3536,4.4856,7.6783,8.625,67.4865
3109.3,0.082,2.5878,17.1826,4.3975,7.6545,8.6094,67.6373
3109.4,0.0787,2.5887,16.5005,4.2771,7.6792,8.6094,67.8893
3109.5,0.079,2.5891,16.217,4.1526,7.7383,8.625,68.1414
3109.6,0.083,2.5894,16.8074,4.0346,7.7886,8.6094,68.4068
3109.7,0.0818,2.5889,16.7236,3.9145,7.7884,8.6094,68.7026
3109.8,0.0839,2.5874,17.8567,3.8087,7.7426,8.6249,68.9983
3109.9,0.0889,2.5869,19.3328,3.7494,7.6922,8.5781,69.3008
3110.0,0.0913,2.589,21.2481,3.6918,7.6659,8.5781,69.6223
3110.1,0.0944,2.5925,22.5644,3.5908,7.6568,8.5781,69.9438
3110.2,0.0982,2.5948,24.0632,3.4735,7.6511,8.5781,70.2358
3110.3,0.099,2.5949,25.05,3.3631,7.6459,8.5939,70.4164
3110.4,0.1019,2.5933,25.9673,3.3481,7.6408,8.625,70.597
3110.5,0.1033,2.591,26.7249,3.488,7.6272,8.625,70.7582
3110.6,0.1032,2.5886,26.1068,3.7159,7.6011,8.625,70.8196
3110.7,0.1021,2.587,27.883,3.9003,7.5754,8.625,70.881
3110.8,0.1005,2.5867,27.8216,4.0468,7.5663,8.625,70.9057
3110.9,0.0982,2.5868,27.6556,4.2432,7.5657,8.625,70.6435
3111.0,0.0953,2.5863,27.5676,4.4536,7.563,8.625,70.3814
3111.1,0.0919,2.5852,25.9847,4.6647,7.5619,8.625,70.1089
3111.2,0.0873,2.5845,25.4057,5.0041,7.5807,8.625,69.6893
3111.3,0.0812,2.5858,24.4718,5.4318,7.6336,8.625,69.2698
3111.4,0.0744,2.5896,23.9232,5.7565,7.6994,8.625,68.8477
3111.5,0.0683,2.5968,23.279,5.933,7.7522,8.625,68.288
3111.6,0.0641,2.6056,22.3139,5.9933,7.7769,8.625,67.7283
3111.7,0.0619,2.6134,21.2169,6.0024,7.7751,8.625,67.1686
3111.8,0.061,2.6173,19.6546,5.9986,7.759,8.625,66.651
3111.9,0.0608,2.6173,18.2597,5.9544,7.738,8.625,66.1347
3112.0,0.061,2.6157,17.7587,5.8484,7.7232,8.625,65.6191
3112.1,0.0616,2.6156,17.0979,5.7591,7.7172,8.625,65.3528
3112.2,0.0629,2.617,15.8984,5.7321,7.7157,8.6249,65.1083
3112.3,0.0648,2.618,15.6305,5.7354,7.7117,8.6016,64.8647
3112.4,0.0701,2.6165,16.1298,5.6988,7.7034,8.6015,64.9532
3112.5,0.0727,2.6128,15.8421,5.5379,7.6925,8.5782,65.0907
3112.6,0.0728,2.6091,17.2916,5.2674,7.6836,8.625,65.2289
3112.7,0.0764,2.6078,18.0539,4.9407,7.6844,8.625,65.6328
3112.8,0.0804,2.6087,18.1962,4.5997,7.6855,8.6249,66.0936
3112.9,0.0874,2.6098,18.7156,4.408,7.6726,8.5781,66.5547
3113.0,0.0913,2.6098,19.4286,4.4244,7.6565,8.5782,67.0868
3113.1,0.0916,2.6083,19.6884,4.4675,7.6667,8.6017,67.6395
3113.2,0.0943,2.6061,19.7392,4.3966,7.7092,8.625,68.1918
3113.3,0.0961,2.603,20.9736,4.2528,7.74,8.625,68.5745
3113.4,0.0965,2.599,22.4843,4.1041,7.7182,8.625,68.8938
3113.5,0.0945,2.5953,21.9204,4.0513,7.6589,8.625,69.2124
3113.6,0.0894,2.5937,23.1926,4.0959,7.6043,8.625,69.2965
3113.7,0.0817,2.5953,25.1631,4.1654,7.596,8.625,69.2701
3113.8,0.0733,2.5994,25.5768,4.261,7.6342,8.625,69.2433
3113.9,0.0664,2.6036,25.7642,4.4463,7.6839,8.625,69.0239
3114.0,0.0624,2.606,26.1529,4.6635,7.7031,8.6249,68.6924
3114.1,0.0644,2.6064,25.9271,4.8566,7.672,8.6015,68.3609
3114.2,0.0665,2.6063,24.3836,5.107,7.5936,8.5782,68.014
3114.3,0.0682,2.6076,23.314,5.3593,7.521,8.625,67.6559
3114.4,0.0748,2.6109,21.9357,5.5009,7.5083,8.625,67.298
3114.5,0.0827,2.6157,20.5852,5.4935,7.5604,8.6249,67.0212
3114.6,0.0939,2.6191,18.7459,5.3259,7.6245,8.5781,66.8146
3114.7,0.1018,2.6183,18.4549,5.0453,7.6438,8.5781,66.6087
3114.8,0.1088,2.613,18.2903,4.7296,7.6002,8.5782,66.6788
3114.9,0.1111,2.6052,18.0904,4.4684,7.5302,8.6017,67.0388
3115.0,0.1147,2.5974,18.5851,4.2077,7.4837,8.625,67.399
3115.1,0.1167,2.5907,19.9737,3.9874,7.4797,8.625,67.8658
3115.2,0.1177,2.5856,21.4962,3.8844,7.4878,8.625,68.4682
3115.3,0.1183,2.5824,24.068,3.8073,7.4795,8.625,69.0706
3115.4,0.1191,2.5805,26.4687,3.6658,7.458,8.625,69.6787
3115.5,0.1203,2.5779,28.8101,3.4709,7.4405,8.625,70.2952
3115.6,0.1217,2.5741,31.248,3.2943,7.4384,8.625,70.9115
3115.7,0.1232,2.5698,32.1762,3.1385,7.4482,8.625,71.4399
3115.8,0.1248,2.5672,32.386,3.0009,7.4468,8.625,71.8009
3115.9,0.1266,2.5675,34.0625,2.9655,7.4293,8.625,72.1618
3116.0,0.1292,2.5693,35.1037,3.0312,7.4105,8.625,72.4685
3116.1,0.132,2.571,35.4695,3.1239,7.4015,8.625,72.6467
3116.2,0.1332,2.5711,35.0901,3.2071,7.3846,8.6249,72.825
3116.3,0.1341,2.5692,34.3918,3.1205,7.3413,8.5782,72.9956
3116.4,0.1254,2.5655,34.4331,2.9467,7.2758,8.625,73.143
3116.5,0.1179,2.5618,33.6773,2.7627,7.2174,8.6249,73.2903
3116.6,0.1148,2.5586,33.3907,2.5913,7.1761,8.6017,73.4357
3116.7,0.1095,2.5568,33.9648,2.5912,7.1496,8.625,73.5726
3116.8,0.111,2.5568,35.7232,2.6915,7.1372,8.6249,73.7096
3116.9,0.1141,2.5584,36.7481,2.8202,7.1594,8.6017,73.8216
3117.0,0.1175,2.5606,36.625,2.9309,7.2241,8.625,73.7968
3117.1,0.1216,2.5624,38.1963,3.053,7.2983,8.625,73.772
3117.2,0.1259,2.5634,38.9476,3.1982,7.3309,8.625,73.7332
3117.3,0.1294,2.5641,38.4574,3.3307,7.3098,8.625,73.576
3117.4,0.1309,2.5643,36.9303,3.3987,7.267,8.625,73.4189
3117.5,0.1307,2.5636,35.9082,3.4371,7.2475,8.625,73.256
3117.6,0.1291,2.5617,35.272,3.3845,7.2662,8.625,72.9986
3117.7,0.1266,2.5594,33.1184,3.1339,7.3041,8.625,72.7413
3117.8,0.1229,2.5581,31.3903,2.9523,7.3365,8.625,72.4861
3117.9,0.118,2.5585,31.1959,2.945,7.3525,8.625,72.3504
3118.0,0.1133,2.5602,32.2926,3.0479,7.3639,8.625,72.2157
3118.1,0.11,2.5623,33.5708,3.2076,7.3903,8.625,72.0813
3118.2,0.1079,2.5633,34.695,3.3339,7.4431,8.625,72.0981
3118.3,0.1061,2.5626,34.2435,3.4562,7.5142,8.625,72.1212
3118.4,0.1041,2.5606,35.041,3.5635,7.5593,8.6249,72.1442
3118.5,0.1048,2.5586,36.2076,3.6293,7.5526,8.5781,72.1258
3118.6,0.103,2.5577,37.6412,3.8218,7.5134,8.5782,72.1034
3118.7,0.0995,2.5583,36.8188,4.1104,7.4755,8.6015,72.0808
3118.8,0.1029,2.5607,37.1129,4.3352,7.4563,8.5781,71.9464
3118.9,0.1034,2.5642,34.4445,4.4405,7.4493,8.5781,71.7944
3119.0,0.1032,2.5676,33.1097,4.4937,7.4447,8.5781,71.642
3119.1,0.1022,2.5706,31.2163,4.5934,7.4515,8.5781,71.3123
3119.2,0.1008,2.5731,28.9397,4.6836,7.4829,8.5781,70.9425
3119.3,0.0993,2.5748,27.4453,4.7523,7.5326,8.5781,70.5726
3119.4,0.0987,2.5749,25.2713,4.7966,7.5648,8.5781,70.1308
3119.5,0.0996,2.5734,24.8446,4.8041,7.5512,8.5781,69.6673
3119.6,0.1016,2.5713,24.5873,4.7554,7.5071,8.5782,69.2039
3119.7,0.1015,2.5694,23.8356,4.6259,7.4743,8.625,68.8361
3119.8,0.1059,2.5671,23.432,4.4955,7.4756,8.625,68.5054
3119.9,0.1128,2.5629,22.7284,4.2982,7.4982,8.625,68.1752
3120.0,0.1225,2.5557,22.7666,4.1126,7.5146,8.6251,68.0021
3120.1,0.1307,2.5457,22.9806,4.0494,7.4947,8.6719,67.9058
3120.2,0.1392,2.535,22.9483,3.9865,7.4294,8.6876,67.8102
3120.3,0.148,2.5271,23.3939,3.6648,7.3355,8.7265,68.0103
3120.4,0.1551,2.5228,23.9645,2.8282,7.2471,8.7031,68.3888
3120.5,0.1609,2.5217,25.02,2.1749,7.1932,8.7031,68.7674
3120.6,0.1647,2.5239,28.0708,2.1619,7.1797,8.6875,69.2069
3120.7,0.1594,2.5297,32.1145,2.3338,7.1975,8.6718,69.6913
3120.8,0.1513,2.5384,36.4057,2.9374,7.2341,8.625,70.1759
3120.9,0.1387,2.5485,42.7964,3.9582,7.2735,8.625,70.6754
3121.0,0.1278,2.558,49.5149,4.4185,7.298,8.625,71.1884
3121.1,0.1202,2.5648,56.0783,4.1347,7.3,8.625,71.701
3121.2,0.1155,2.5688,59.2204,3.9875,7.2919,8.625,72.0364
3121.3,0.1124,2.5711,57.5989,4.033,7.3062,8.625,72.18
3121.4,0.1099,2.5725,54.8453,4.2009,7.3779,8.625,72.3234
3121.5,0.1074,2.5739,51.0857,4.4057,7.4939,8.625,72.3243
3121.6,0.1053,2.5755,44.5519,4.6253,7.6063,8.625,72.1382
3121.7,0.1037,2.5774,39.3814,4.8007,7.6613,8.625,71.9518
3121.8,0.1021,2.5795,34.7777,4.8371,7.6475,8.625,71.7024
3121.9,0.1001,2.5813,31.5095,4.8225,7.6116,8.625,71.3516
3122.0,0.0974,2.5823,29.9039,4.8308,7.5812,8.625,71.0007
3122.1,0.0945,2.5816,28.9054,4.844,7.5496,8.625,70.634
3122.2,0.0919,2.579,26.5917,4.8537,7.5065,8.625,70.2357
3122.3,0.0895,2.5756,25.491,4.8852,7.4655,8.625,69.8376
3122.4,0.0875,2.5741,25.3438,5.043,7.4587,8.625,69.481
3122.5,0.0859,2.5762,24.6742,5.2857,7.4991,8.625,69.227
3122.6,0.0848,2.5805,23.4242,5.4458,7.5664,8.625,68.973
3122.7,0.0846,2.584,23.1444,5.4639,7.6386,8.625,68.7267
3122.8,0.0851,2.5847,23.448,5.36,7.6917,8.6251,68.5046
3122.9,0.083,2.5834,23.218,5.3537,7.7162,8.6719,68.2825
3123.0,0.0834,2.5816,23.0404,5.5333,7.7104,8.6719,68.0717
3123.1,0.0827,2.5804,23.4812,5.699,7.6844,8.6718,67.9082
3123.2,0.0839,2.5809,23.0933,5.867,7.6763,8.625,67.7447
3123.3,0.0817,2.5832,22.6324,6.0402,7.7068,8.6251,67.5946
3123.4,0.0767,2.5853,22.5823,6.1435,7.7533,8.6719,67.5246
3123.5,0.0747,2.5855,23.1835,6.2274,7.7801,8.672,67.4546
3123.6,0.0713,2.584,23.0526,6.2857,7.7782,8.7031,67.3803
3123.7,0.0722,2.5824,22.0588,6.345,7.7705,8.6875,67.2674
3123.8,0.0715,2.5812,22.8379,6.4283,7.7698,8.6719,67.1545
3123.9,0.0704,2.5809,22.4352,6.4782,7.7595,8.6719,67.0399
3124.0,0.0689,2.5823,20.7619,6.4936,7.7225,8.6719,66.892
3124.1,0.0677,2.5856,20.2154,6.4842,7.6609,8.6718,66.7439
3124.2,0.0702,2.5894,19.3689,6.4613,7.615,8.625,66.5954
3124.3,0.0703,2.5925,17.3816,6.4439,7.6164,8.625,66.2599
3124.4,0.0702,2.5947,17.4306,6.4117,7.6566,8.625,65.9242
3124.5,0.0695,2.596,17.3559,6.3661,7.6997,8.6251,65.5884
3124.6,0.0658,2.5956,16.5357,6.2963,7.7221,8.6485,65.2253
3124.7,0.0682,2.5931,15.8642,6.2105,7.7115,8.6718,64.8607
3124.8,0.0688,2.5898,15.6042,6.1033,7.6706,8.625,64.4963
3124.9,0.0706,2.5873,16.5974,6.0266,7.6074,8.625,64.2075
3125.0,0.0728,2.5867,16.6662,5.9522,7.5407,8.625,63.9268
3125.1,0.0744,2.5882,17.3888,5.8515,7.4942,8.625,63.6465
3125.2,0.0755,2.5902,18.1638,5.6518,7.4759,8.625,63.5392
3125.3,0.0764,2.5908,19.0472,5.4584,7.4897,8.625,63.461
3125.4,0.0778,2.5889,19.3188,5.3712,7.5289,8.625,63.3835
3125.5,0.0793,2.5857,19.3423,5.2755,7.5653,8.625,63.5662
3125.6,0.0805,2.5841,20.795,5.226,7.5684,8.625,63.8108
3125.7,0.0813,2.5851,21.1635,5.2537,7.5374,8.625,64.0555
3125.8,0.0824,2.587,21.5102,5.2778,7.4986,8.625,64.2979
3125.9,0.0843,2.5881,23.8186,5.2493,7.4826,8.625,64.5396
3126.0,0.087,2.5876,25.8056,5.2487,7.4877,8.625,64.7816
3126.1,0.0903,2.5865,24.9385,5.633,7.488,8.625,65.1471
3126.2,0.0936,2.5852,24.7195,6.2162,7.4685,8.625,65.5626
3126.3,0.0965,2.5831,26.708,6.7245,7.4353,8.625,65.9779
3126.4,0.0984,2.5797,28.6764,7.0748,7.4162,8.625,66.3352
3126.5,0.0989,2.5756,28.1858,7.0585,7.4134,8.625,66.663
3126.6,0.0982,2.5737,28.0204,6.8159,7.427,8.625,66.9907
3126.7,0.0969,2.5757,28.2405,6.6853,7.4441,8.625,67.2894
3126.8,0.0946,2.5811,28.7248,6.6392,7.4572,8.625,67.5698
3126.9,0.0914,2.5863,29.2331,6.7056,7.4729,8.625,67.8499
3127.0,0.0884,2.5889,28.6583,6.948,7.4947,8.625,68.025
3127.1,0.0866,2.5898,28.3892,7.2385,7.4996,8.625,68.1201
3127.2,0.0864,2.5917,28.7936,7.4304,7.4749,8.625,68.215
3127.3,0.0872,2.5954,26.4999,7.7296,7.422,8.625,68.1917
3127.4,0.0875,2.5986,26.1073,8.0955,7.372,8.625,68.0593
3127.5,0.0872,2.5984,26.9458,8.3047,7.346,8.625,67.9268
3127.6,0.0865,2.5945,27.3234,8.4239,7.3538,8.625,67.7661
3127.7,0.0855,2.5896,26.6693,8.5442,7.3809,8.625,67.5738
3127.8,0.0841,2.5871,25.991,8.6685,7.4096,8.625,67.3815
3127.9,0.0821,2.5874,25.1233,8.7983,7.429,8.625,67.1876
3128.0,0.0795,2.5881,22.49,8.916,7.4485,8.625,66.9914
3128.1,0.0769,2.5873,22.7956,9.1655,7.4751,8.625,66.7952
3128.2,0.0746,2.5862,23.0965,9.361,7.5193,8.625,66.6369
3128.3,0.0726,2.5872,20.4902,9.4193,7.6046,8.625,66.541
3128.4,0.0709,2.5899,18.5039,9.4299,7.7215,8.6249,66.445
3128.5,0.0724,2.5921,17.7742,9.4113,7.8259,8.6015,66.3153
3128.6,0.0712,2.5927,16.936,9.3905,7.8769,8.5781,66.1168
3128.7,0.0702,2.5927,16.5424,9.3853,7.8711,8.5781,65.9182
3128.8,0.0694,2.5933,15.9087,9.394,7.8435,8.5781,65.6686
3128.9,0.0685,2.5945,14.775,9.4278,7.8018,8.5781,65.2884
3129.0,0.0675,2.5959,14.4944,9.4025,7.7541,8.5781,64.908
3129.1,0.0662,2.5981,14.4038,9.3656,7.7253,8.5781,64.4991
3129.2,0.0647,2.6018,14.6731,9.2542,7.742,8.5781,63.9958
3129.3,0.0636,2.6063,14.0846,9.2014,7.7965,8.5782,63.4925
3129.4,0.0603,2.6104,14.3945,9.1452,7.8353,8.625,62.9962
